reward/env_0,reward/env_1,train/value_loss,train/clip_range,train/approx_kl,train/clip_fraction,train/std,train/loss,train/entropy_loss,train/policy_gradient_loss,eval/success_rate,eval/std_reward,train/explained_variance,eval/mean_reward,train/n_updates,train/learning_rate
-1125.6802049008618,,,,,,,,,,,,,,,
,-963.5046932616646,,,,,,,,,,,,,,
,-540.2805420429133,,,,,,,,,,,,,,
-1063.4045071098217,,,,,,,,,,,,,,,
,-1048.6362275569804,,,,,,,,,,,,,,
-1027.231715915611,,,,,,,,,,,,,,,
,-986.1177073952655,,,,,,,,,,,,,,
-977.888140387691,,,,,,,,,,,,,,,
,-981.6737895710469,,,,,,,,,,,,,,
,,80128.0859375,0.2,0.00063586177,0.0,1.0108426809310913,41295.64453125,-8.575521898269653,-0.0005681467475369573,0.0,127.89048479234704,-1.0728836059570312e-06,-933.7735102045938,2040,0.0003
-1046.9141523934334,,,,,,,,,,,,,,,
,-958.0760561525188,,,,,,,,,,,,,,
-1289.787488613831,,,,,,,,,,,,,,,
,-1032.2967940732622,,,,,,,,,,,,,,
-947.0842529189222,,,,,,,,,,,,,,,
,-1017.8576408704575,,,,,,,,,,,,,,
-1033.3903205138708,,,,,,,,,,,,,,,
,-1016.5870071321693,,,,,,,,,,,,,,
,,76792.03359375,0.2,0.0003612735,0.0,1.0112510919570923,38262.390625,-8.5771155834198,-0.000282446009805426,0.0,171.6527785476079,-9.5367431640625e-07,-936.8166019290918,2050,0.0003
-988.019079538193,,,,,,,,,,,,,,,
,-1060.0351140075331,,,,,,,,,,,,,,
-1125.7025723596587,,,,,,,,,,,,,,,
,-1153.0676310221677,,,,,,,,,,,,,,
-1036.464306552443,,,,,,,,,,,,,,,
,-942.4029258675425,,,,,,,,,,,,,,
-972.6815734168695,,,,,,,,,,,,,,,
,-1043.5564013542203,,,,,,,,,,,,,,
-1302.0455227739362,,,,,,,,,,,,,,,
,,80120.887890625,0.2,0.0004549526,0.0,1.0111466646194458,42321.1484375,-8.578669118881226,-0.0003571529465261847,0.0,142.28962161985788,-4.76837158203125e-07,-887.4383212241403,2060,0.0003
,-1099.392463864558,,,,,,,,,,,,,,
-1037.8051884436022,,,,,,,,,,,,,,,
,-1172.2099850677148,,,,,,,,,,,,,,
-1036.9075837504115,,,,,,,,,,,,,,,
,-908.619674840784,,,,,,,,,,,,,,
-1216.3753921300836,,,,,,,,,,,,,,,
,-1026.057336707692,,,,,,,,,,,,,,
-988.0223184242238,,,,,,,,,,,,,,,
,,76371.969921875,0.2,0.00041737902,0.0,1.0109025239944458,38814.796875,-8.577065801620483,-0.0003934435488190502,0.0,127.51771327110097,-4.76837158203125e-07,-995.1783384063534,2070,0.0003
,-1002.3337409150411,,,,,,,,,,,,,,
-1161.8918168213274,,,,,,,,,,,,,,,
,-1047.367002000202,,,,,,,,,,,,,,
-1088.6326785032927,,,,,,,,,,,,,,,
,-1107.8377257300426,,,,,,,,,,,,,,
-1052.721846008049,,,,,,,,,,,,,,,
,-1053.1363760347622,,,,,,,,,,,,,,
-1002.8608885773401,,,,,,,,,,,,,,,
,,80797.359375,0.2,0.0007374177,0.0,1.0110721588134766,41067.03515625,-8.576865577697754,-0.0007074619410559535,0.0,197.79085508695118,-4.76837158203125e-07,-1105.0558847927819,2080,0.0003
,-1042.7891260385256,,,,,,,,,,,,,,
-1052.646812686226,,,,,,,,,,,,,,,
,-1079.677595661173,,,,,,,,,,,,,,
-997.0083494352897,,,,,,,,,,,,,,,
,-933.9561122440942,,,,,,,,,,,,,,
-992.4883636289196,,,,,,,,,,,,,,,
,-1127.3651960020702,,,,,,,,,,,,,,
-1073.0799574498344,,,,,,,,,,,,,,,
,-1081.873259797792,,,,,,,,,,,,,,
,,78038.16328125,0.2,0.0002845432,0.0,1.0112638473510742,36809.66015625,-8.578139209747315,-9.480897570028901e-05,0.0,177.67148836655014,-8.344650268554688e-07,-973.1803145728602,2090,0.0003
-1050.3973219503591,,,,,,,,,,,,,,,
,-1063.486202707782,,,,,,,,,,,,,,
-1006.2997568717379,,,,,,,,,,,,,,,
,-1529.2220683376422,,,,,,,,,,,,,,
-1021.7706295847499,,,,,,,,,,,,,,,
,-1143.4559511297628,,,,,,,,,,,,,,
-993.3137003231074,,,,,,,,,,,,,,,
,-1054.2432948100363,,,,,,,,,,,,,,
,,82387.554296875,0.2,0.0007307471,0.0,1.0120691061019897,43017.6328125,-8.580229949951171,-0.0007096900517353788,0.0,173.44703549162472,-7.152557373046875e-07,-929.498588012347,2100,0.0003
-1061.7121899099668,,,,,,,,,,,,,,,
,-1132.4679898210966,,,,,,,,,,,,,,
-1157.084526842551,,,,,,,,,,,,,,,
,-1168.2946406643978,,,,,,,,,,,,,,
-1010.8122139035356,,,,,,,,,,,,,,,
,-935.1341067569489,,,,,,,,,,,,,,
-1138.7654484784487,,,,,,,,,,,,,,,
,-1108.948840075718,,,,,,,,,,,,,,
,,83062.770703125,0.2,0.0011465205,4.8828125e-05,1.0115197896957397,39587.53125,-8.582459354400635,-0.000939415761968121,0.0,125.09221457285159,-9.5367431640625e-07,-880.3001564279954,2110,0.0003
-1128.8683925163916,,,,,,,,,,,,,,,
,-1088.1464974346495,,,,,,,,,,,,,,
-1076.8968918401622,,,,,,,,,,,,,,,
,-940.361270948466,,,,,,,,,,,,,,
-981.2358368611165,,,,,,,,,,,,,,,
,-1118.4167768087689,,,,,,,,,,,,,,
-1088.5296865088999,,,,,,,,,,,,,,,
,-1048.549912479532,,,,,,,,,,,,,,
,,78206.115625,0.2,0.0014867448,2.44140625e-05,1.0120394229888916,39183.28125,-8.579771089553834,-0.0011542510124854743,0.0,92.68107891943986,-2.384185791015625e-07,-890.020841149893,2120,0.0003
-948.2379051554783,,,,,,,,,,,,,,,
,-1026.9271279512445,,,,,,,,,,,,,,
-1220.0524585456596,,,,,,,,,,,,,,,
,-945.6004763247886,,,,,,,,,,,,,,
-1059.8418916585474,,,,,,,,,,,,,,,
,-883.4583112762678,,,,,,,,,,,,,,
-1001.0939832197182,,,,,,,,,,,,,,,
,-961.925927901773,,,,,,,,,,,,,,
-1006.7844502689632,,,,,,,,,,,,,,,
,-1054.6641315242873,,,,,,,,,,,,,,
,,78283.47265625,0.2,0.0006348606,0.0,1.0134284496307373,38352.828125,-8.586550235748291,-0.00033531089429743587,0.0,97.08257311614061,-4.76837158203125e-07,-890.9593649320734,2130,0.0003
-567.7449973442311,,,,,,,,,,,,,,,
,-1131.608091792778,,,,,,,,,,,,,,
-1162.3609789733814,,,,,,,,,,,,,,,
,-1130.017445984388,,,,,,,,,,,,,,
-1309.590434018803,,,,,,,,,,,,,,,
,-1044.714785765846,,,,,,,,,,,,,,
-1166.595253802084,,,,,,,,,,,,,,,
,-1118.300311617238,,,,,,,,,,,,,,
,,84160.184765625,0.2,0.00034688553,0.0,1.0134958028793335,42195.421875,-8.592131328582763,-0.00018144965870305895,0.0,147.1090586855593,-4.76837158203125e-07,-901.1818359152873,2140,0.0003
-1034.6079505049927,,,,,,,,,,,,,,,
,-1053.6058438457828,,,,,,,,,,,,,,
-1117.2543553369226,,,,,,,,,,,,,,,
,-1059.470023886985,,,,,,,,,,,,,,
-1042.5300399354123,,,,,,,,,,,,,,,
,-1058.004209796392,,,,,,,,,,,,,,
-936.0251414814014,,,,,,,,,,,,,,,
,-994.0139151351044,,,,,,,,,,,,,,
,,76802.762109375,0.2,0.0005965504,0.0,1.014090657234192,40339.33984375,-8.592394161224366,-0.0005086192570161075,0.0,49.12011352366484,-9.5367431640625e-07,-863.1972376361788,2150,0.0003
,-1024.909091347439,,,,,,,,,,,,,,
-1072.694054615264,,,,,,,,,,,,,,,
,-948.0711233447882,,,,,,,,,,,,,,
-1037.8228546940115,,,,,,,,,,,,,,,
,-1168.1792135483342,,,,,,,,,,,,,,
-1111.820101094262,,,,,,,,,,,,,,,
-1155.433442097948,,,,,,,,,,,,,,,
,-1046.0438406023627,,,,,,,,,,,,,,
,,79409.83984375,0.2,0.00015972897,0.0,1.0153110027313232,40236.08203125,-8.598254013061524,-8.415343472734094e-05,0.1,620.9230887446117,-9.5367431640625e-07,-684.9269935933734,2160,0.0003
,-1005.143637147076,,,,,,,,,,,,,,
-1025.9633725248975,,,,,,,,,,,,,,,
,-1098.8949710524912,,,,,,,,,,,,,,
-1162.7607881521687,,,,,,,,,,,,,,,
,-1105.1754096810484,,,,,,,,,,,,,,
-1152.1018654014172,,,,,,,,,,,,,,,
,-1002.2609833047387,,,,,,,,,,,,,,
-1062.1338702378744,,,,,,,,,,,,,,,
,,76974.334375,0.2,0.00023181151,0.0,1.0154242515563965,39327.765625,-8.602994203567505,-0.00020338960166554898,0.0,69.21873248646632,-8.344650268554688e-07,-847.0757075099369,2170,0.0003
,-1013.2661327632125,,,,,,,,,,,,,,
-997.5627498084625,,,,,,,,,,,,,,,
,-1350.1726292280046,,,,,,,,,,,,,,
-1314.6244852208606,,,,,,,,,,,,,,,
,-1121.9891187875587,,,,,,,,,,,,,,
-1116.457304548882,,,,,,,,,,,,,,,
,-1020.0033020713369,,,,,,,,,,,,,,
-1312.2267104239602,,,,,,,,,,,,,,,
,-1011.1978158619155,,,,,,,,,,,,,,
,,83876.272265625,0.2,0.0006963242,0.0,1.0166610479354858,42767.58984375,-8.604984235763549,-0.0006906547758262604,0.1,635.2003386094906,-1.430511474609375e-06,-635.53815964989,2180,0.0003
-1137.0189705333337,,,,,,,,,,,,,,,
,-1072.0116614670267,,,,,,,,,,,,,,
-1037.0387833450686,,,,,,,,,,,,,,,
,-1090.5328748839434,,,,,,,,,,,,,,
-1170.201305510075,,,,,,,,,,,,,,,
,-1037.4548181120995,,,,,,,,,,,,,,
-1047.3879004487867,,,,,,,,,,,,,,,
,-1014.4471669719585,,,,,,,,,,,,,,
,,76984.526953125,0.2,0.0005074138,0.0,1.0175811052322388,38750.91015625,-8.613036680221558,-0.00040476323338225486,0.0,117.57007224409948,-7.152557373046875e-07,-874.6808585436445,2190,0.0003
-1173.742790577137,,,,,,,,,,,,,,,
,-1124.734144603994,,,,,,,,,,,,,,
-990.1615677488828,,,,,,,,,,,,,,,
,-1128.64284131426,,,,,,,,,,,,,,
-1141.2367341535153,,,,,,,,,,,,,,,
,-1106.243958441189,,,,,,,,,,,,,,
-1109.9509404798957,,,,,,,,,,,,,,,
,-1107.6146285495324,,,,,,,,,,,,,,
-1043.5852004107633,,,,,,,,,,,,,,,
,,77956.671484375,0.2,0.00018097144,0.0,1.0180140733718872,40010.9375,-8.616321516036987,-0.00016001976327970625,0.0,113.29201951051974,-3.5762786865234375e-07,-908.4850456913434,2200,0.0003
,-1205.9729675582616,,,,,,,,,,,,,,
-1008.1263700243928,,,,,,,,,,,,,,,
,-977.5657910942524,,,,,,,,,,,,,,
-1114.020166506004,,,,,,,,,,,,,,,
-1092.689528239758,,,,,,,,,,,,,,,
,-883.239844783942,,,,,,,,,,,,,,
,-678.4610481282801,,,,,,,,,,,,,,
-1083.3802047071035,,,,,,,,,,,,,,,
,,76412.6359375,0.2,0.0008573297,0.0,1.0193876028060913,38808.97265625,-8.620882844924926,-0.0008043684938456863,0.0,95.9002615059028,-2.384185791015625e-07,-886.738028424272,2210,0.0003
,-1112.8808615228509,,,,,,,,,,,,,,
-1132.6155341188958,,,,,,,,,,,,,,,
,-1034.2202118518774,,,,,,,,,,,,,,
-1065.2704425362906,,,,,,,,,,,,,,,
,-975.0504402826793,,,,,,,,,,,,,,
-1081.2250769721516,,,,,,,,,,,,,,,
,-968.1387648429233,,,,,,,,,,,,,,
-1113.576286636717,,,,,,,,,,,,,,,
,,74483.415625,0.2,0.0006954591,0.0,1.0194025039672852,36249.84375,-8.626774263381957,-0.00030232426943257453,0.0,61.221281535615304,-3.5762786865234375e-07,-897.962750462787,2220,0.0003
,-1044.1839263423499,,,,,,,,,,,,,,
-1062.7284048574934,,,,,,,,,,,,,,,
,-1057.0027846610783,,,,,,,,,,,,,,
-1198.2727889886887,,,,,,,,,,,,,,,
,-958.0392320161584,,,,,,,,,,,,,,
-1171.8676388715796,,,,,,,,,,,,,,,
,-983.814662084315,,,,,,,,,,,,,,
-970.2868305880663,,,,,,,,,,,,,,,
,,75203.91328125,0.2,0.00026886637,0.0,1.0177440643310547,38977.1640625,-8.621647882461549,-0.000317876593908295,0.0,132.81171784541945,-5.960464477539062e-07,-1059.402583518702,2230,0.0003
,-1040.6224407440893,,,,,,,,,,,,,,
-1053.3590870451496,,,,,,,,,,,,,,,
,-1244.7429968275378,,,,,,,,,,,,,,
-1157.7661192367864,,,,,,,,,,,,,,,
,-989.0851839796542,,,,,,,,,,,,,,
-1050.0670014503457,,,,,,,,,,,,,,,
,-1110.829083573736,,,,,,,,,,,,,,
-1142.8697117299641,,,,,,,,,,,,,,,
,,77516.61328125,0.2,0.0009730579,0.0,1.0169787406921387,38906.42578125,-8.612933921813966,-0.0008625128015410155,0.0,173.74334302341234,-5.960464477539062e-07,-992.6139040009386,2240,0.0003
,-971.6280203691789,,,,,,,,,,,,,,
-1120.15551073294,,,,,,,,,,,,,,,
,-1233.8124301510745,,,,,,,,,,,,,,
-1170.7819824367543,,,,,,,,,,,,,,,
,-1050.752411926867,,,,,,,,,,,,,,
-1070.0124623841373,,,,,,,,,,,,,,,
,-1181.6394329640855,,,,,,,,,,,,,,
-1097.3077420225904,,,,,,,,,,,,,,,
,,78899.73515625,0.2,0.00040014286,0.0,1.017351508140564,37820.50390625,-8.612041902542114,-0.0003236311546061188,0.0,46.86063510753699,-7.152557373046875e-07,-885.3140256991486,2250,0.0003
,-1142.579165507665,,,,,,,,,,,,,,
-1234.442904092899,,,,,,,,,,,,,,,
,-1114.9161166665024,,,,,,,,,,,,,,
-1158.3139060080048,,,,,,,,,,,,,,,
,-1065.9136771833037,,,,,,,,,,,,,,
-997.2343635331584,,,,,,,,,,,,,,,
,-1070.7007621060852,,,,,,,,,,,,,,
-967.5385534814777,,,,,,,,,,,,,,,
,,75587.9890625,0.2,0.001104431,0.0,1.0168215036392212,38736.27734375,-8.612957763671876,-0.0010743634193204343,0.1,624.0003824429067,-7.152557373046875e-07,-728.214525715604,2260,0.0003
,-1131.682527216145,,,,,,,,,,,,,,
-1052.0376321555796,,,,,,,,,,,,,,,
,-1150.7956732374528,,,,,,,,,,,,,,
-999.2593743121163,,,,,,,,,,,,,,,
,-1021.3289724861568,,,,,,,,,,,,,,
-1169.5679653002676,,,,,,,,,,,,,,,
,-1120.6426230651614,,,,,,,,,,,,,,
-1063.100128504308,,,,,,,,,,,,,,,
,,77215.23125,0.2,0.0021529857,0.0001953125,1.0164917707443237,38789.796875,-8.609342432022094,-0.0016578698181547225,0.0,48.800779174680144,-5.960464477539062e-07,-897.6471770789724,2270,0.0003
,-1039.7817348275812,,,,,,,,,,,,,,
-927.4868301207018,,,,,,,,,,,,,,,
,-1036.9927860231767,,,,,,,,,,,,,,
-1033.78082731336,,,,,,,,,,,,,,,
,-1069.718838423552,,,,,,,,,,,,,,
-1125.2500693431216,,,,,,,,,,,,,,,
,-1193.7305250327147,,,,,,,,,,,,,,
-1046.2545894968562,,,,,,,,,,,,,,,
,-1095.326684540068,,,,,,,,,,,,,,
,,77784.269140625,0.2,0.0016540485,0.0002685546875,1.0161632299423218,41070.890625,-8.608205890655517,-0.001009226671885699,0.0,63.27098097829094,-4.76837158203125e-07,-886.0224271613206,2280,0.0003
-1149.8820351451636,,,,,,,,,,,,,,,
,-1160.8895850880958,,,,,,,,,,,,,,
-1099.8094295042904,,,,,,,,,,,,,,,
,-990.6654827736089,,,,,,,,,,,,,,
-1303.1770814751794,,,,,,,,,,,,,,,
,-985.7808115141275,,,,,,,,,,,,,,
-1002.9951799314338,,,,,,,,,,,,,,,
,-938.3449802200963,,,,,,,,,,,,,,
,,76533.90234375,0.2,0.0010601132,0.0,1.0159696340560913,37048.3125,-8.606170511245727,-0.0007678568828850985,0.0,140.31239781382857,-5.960464477539062e-07,-957.8814783001899,2290,0.0003
-1086.9567677294901,,,,,,,,,,,,,,,
,-1185.4743885785276,,,,,,,,,,,,,,
-1150.8492489104324,,,,,,,,,,,,,,,
,-1013.3722009918072,,,,,,,,,,,,,,
-996.2758023862418,,,,,,,,,,,,,,,
,-1069.426774268179,,,,,,,,,,,,,,
-1132.9075885249606,,,,,,,,,,,,,,,
,-1025.2574463599854,,,,,,,,,,,,,,
,,75625.96328125,0.2,0.001238911,4.8828125e-05,1.017127513885498,39021.8515625,-8.6082049369812,-0.0009872774302493782,0.0,115.97851890878805,-7.152557373046875e-07,-966.315147766513,2300,0.0003
-1150.9868651810261,,,,,,,,,,,,,,,
,-1021.210476666028,,,,,,,,,,,,,,
-1115.2627483672557,,,,,,,,,,,,,,,
,-1227.436796560936,,,,,,,,,,,,,,
-963.2618273772529,,,,,,,,,,,,,,,
,-1015.3043816929894,,,,,,,,,,,,,,
-1028.742242236697,,,,,,,,,,,,,,,
,-1021.7854871581787,,,,,,,,,,,,,,
,,73371.256640625,0.2,0.00019702995,0.0,1.0178176164627075,33947.421875,-8.615126132965088,-7.34640401788056e-05,0.1,666.3807992799514,-4.76837158203125e-07,-792.6485423889949,2310,0.0003
-998.3791977905291,,,,,,,,,,,,,,,
,-1266.461495064399,,,,,,,,,,,,,,
-1062.0300069472805,,,,,,,,,,,,,,,
,-913.4432663425087,,,,,,,,,,,,,,
-1165.2163549310876,,,,,,,,,,,,,,,
,-1086.8665497246875,,,,,,,,,,,,,,
-1112.7202601314934,,,,,,,,,,,,,,,
,-990.2021418643523,,,,,,,,,,,,,,
,,75429.9984375,0.2,0.0005530932,0.0,1.017457365989685,38642.4140625,-8.616076326370239,-0.0005814011325128377,0.0,79.30734051413855,-5.960464477539062e-07,-878.45183326124,2320,0.0003
-1050.4136611232648,,,,,,,,,,,,,,,
,-1159.8924917568834,,,,,,,,,,,,,,
-1032.4244034960482,,,,,,,,,,,,,,,
,-1047.3918210765873,,,,,,,,,,,,,,
-1119.8488005435513,,,,,,,,,,,,,,,
,-978.8461460596997,,,,,,,,,,,,,,
-986.3138787670811,,,,,,,,,,,,,,,
,-1122.5234400042182,,,,,,,,,,,,,,
-1014.329284873066,,,,,,,,,,,,,,,
,,77674.9796875,0.2,0.00074002787,0.0,1.0164214372634888,39101.63671875,-8.6118821144104,-0.000565086182905361,0.0,124.60823723095405,-7.152557373046875e-07,-951.1439346456388,2330,0.0003
,-1087.6460789391977,,,,,,,,,,,,,,
-1078.6393910824759,,,,,,,,,,,,,,,
,-1168.1277578828344,,,,,,,,,,,,,,
-1211.4952832688368,,,,,,,,,,,,,,,
,-1094.7157402801404,,,,,,,,,,,,,,
-1120.9119891049647,,,,,,,,,,,,,,,
,-1045.8531611474887,,,,,,,,,,,,,,
-1002.6152743764906,,,,,,,,,,,,,,,
,,77938.41015625,0.2,0.0010732112,0.0,1.0162376165390015,36539.8828125,-8.607200813293456,-0.0009226736787240952,0.0,147.70929273666312,-4.76837158203125e-07,-1020.9379271942677,2340,0.0003
,-1087.3459338307841,,,,,,,,,,,,,,
-1073.519264903836,,,,,,,,,,,,,,,
,-1109.4870935084532,,,,,,,,,,,,,,
-1377.9389894386143,,,,,,,,,,,,,,,
,-1139.9589363112368,,,,,,,,,,,,,,
-1022.6883611489487,,,,,,,,,,,,,,,
,-957.5479772221872,,,,,,,,,,,,,,
-1065.4897948128548,,,,,,,,,,,,,,,
,,76395.143359375,0.2,0.00033617194,0.0,1.015909194946289,38660.45703125,-8.606715059280395,-8.349479758180678e-05,0.0,197.73655781202032,-4.76837158203125e-07,-911.9332676673433,2350,0.0003
,-1082.1411104247568,,,,,,,,,,,,,,
-1003.3729984637114,,,,,,,,,,,,,,,
,-1041.5385821348539,,,,,,,,,,,,,,
-1297.279695703688,,,,,,,,,,,,,,,
,-1190.4648233862358,,,,,,,,,,,,,,
-1065.4328474494562,,,,,,,,,,,,,,,
,-1298.2187776408377,,,,,,,,,,,,,,
-1177.4952468411425,,,,,,,,,,,,,,,
,,81656.305078125,0.2,0.0005655197,0.0,1.0147039890289307,39115.4921875,-8.602424812316894,-0.0005435044062323868,0.0,194.7289256501142,-4.76837158203125e-07,-980.9209432713853,2360,0.0003
,-1064.9517018291185,,,,,,,,,,,,,,
-1000.5052971755491,,,,,,,,,,,,,,,
,-1229.8630721298455,,,,,,,,,,,,,,
-1241.0543140907862,,,,,,,,,,,,,,,
,-1026.8604936119912,,,,,,,,,,,,,,
-1012.3079913492172,,,,,,,,,,,,,,,
,-1091.1714201154687,,,,,,,,,,,,,,
-1014.9756054901338,,,,,,,,,,,,,,,
,,77707.034375,0.2,0.0002853225,0.0,1.0137461423873901,39942.703125,-8.595167970657348,-0.00020321530755609273,0.0,160.08995531278745,-5.960464477539062e-07,-1027.932448061637,2370,0.0003
,-1007.7009748714785,,,,,,,,,,,,,,
-1093.8886914840693,,,,,,,,,,,,,,,
,-969.2634938839074,,,,,,,,,,,,,,
-1058.4603218897082,,,,,,,,,,,,,,,
,-980.4213116434157,,,,,,,,,,,,,,
-974.082540685826,,,,,,,,,,,,,,,
,-900.6119062942429,,,,,,,,,,,,,,
-1101.8329333408933,,,,,,,,,,,,,,,
,-1164.5754707637175,,,,,,,,,,,,,,
,,74049.50703125,0.2,0.0012231927,0.0,1.0137556791305542,36599.44140625,-8.592022514343261,-0.0010835288849193603,0.0,162.76127317470528,-5.960464477539062e-07,-999.9836455275392,2380,0.0003
-1084.229269219762,,,,,,,,,,,,,,,
,-1153.9970745808118,,,,,,,,,,,,,,
-1089.7815214710547,,,,,,,,,,,,,,,
,-1055.323824555772,,,,,,,,,,,,,,
-1089.5788850636122,,,,,,,,,,,,,,,
,-969.755957706504,,,,,,,,,,,,,,
-1045.3512382953681,,,,,,,,,,,,,,,
,-1097.572647285955,,,,,,,,,,,,,,
,,76746.466015625,0.2,0.0010616262,2.44140625e-05,1.014490008354187,38557.6484375,-8.594100904464721,-0.000754187477286905,0.0,150.52009654346904,-4.76837158203125e-07,-1060.3217344695122,2390,0.0003
-1131.8810673761116,,,,,,,,,,,,,,,
,-1158.1685256694032,,,,,,,,,,,,,,
-1166.5988312779552,,,,,,,,,,,,,,,
,-1044.6028518386718,,,,,,,,,,,,,,
-994.9308821075904,,,,,,,,,,,,,,,
,-1196.6231127034948,,,,,,,,,,,,,,
-1016.5655448485095,,,,,,,,,,,,,,,
,-1081.1981898438257,,,,,,,,,,,,,,
,,75712.787890625,0.2,0.001468271,4.8828125e-05,1.0137299299240112,36780.9140625,-8.595422744750977,-0.001074740051990375,0.0,110.34180794884522,-4.76837158203125e-07,-960.6226729303669,2400,0.0003
-1034.2395452030926,,,,,,,,,,,,,,,
,-1085.097465838445,,,,,,,,,,,,,,
-1252.6808459112663,,,,,,,,,,,,,,,
,-1080.9304897719103,,,,,,,,,,,,,,
-1069.3691516059155,,,,,,,,,,,,,,,
,-1091.935712549905,,,,,,,,,,,,,,
-1085.0402711773927,,,,,,,,,,,,,,,
,-1178.6000824133082,,,,,,,,,,,,,,
,,76351.07890625,0.2,0.00032877352,0.0,1.0129411220550537,40489.1171875,-8.589423990249633,-0.00016359664732590318,0.0,102.14778874296721,-7.152557373046875e-07,-889.1344292529508,2410,0.0003
-1100.7223692245939,,,,,,,,,,,,,,,
,-1125.2892863678003,,,,,,,,,,,,,,
-1117.393828949868,,,,,,,,,,,,,,,
,-1023.9370830530752,,,,,,,,,,,,,,
-1114.6122549348606,,,,,,,,,,,,,,,
,-965.9738121687833,,,,,,,,,,,,,,
-1004.4263478146935,,,,,,,,,,,,,,,
,-1180.2873509059368,,,,,,,,,,,,,,
,,75196.44609375,0.2,0.00017134578,0.0,1.0116909742355347,36732.4921875,-8.58438720703125,-0.00017918963567353785,0.0,111.07752206317039,-2.384185791015625e-07,-1013.5754985889687,2420,0.0003
-1144.732123942854,,,,,,,,,,,,,,,
,-1068.487650022357,,,,,,,,,,,,,,
-1292.9995381561355,,,,,,,,,,,,,,,
,-1109.557145994114,,,,,,,,,,,,,,
-1114.9498084837946,,,,,,,,,,,,,,,
,-1110.9674769180224,,,,,,,,,,,,,,
-1153.9715994842068,,,,,,,,,,,,,,,
,-1047.7972236116793,,,,,,,,,,,,,,
-1268.4009080980557,,,,,,,,,,,,,,,
,,83513.625,0.2,0.00015291339,0.0,1.0103516578674316,42971.07421875,-8.576125049591065,-0.0002031073672696948,0.0,108.18720418015094,-1.0728836059570312e-06,-937.3477841110182,2430,0.0003
,-1044.556146890275,,,,,,,,,,,,,,
-1104.2202179263845,,,,,,,,,,,,,,,
,-1267.494641454005,,,,,,,,,,,,,,
-1045.2291909348237,,,,,,,,,,,,,,,
,-1131.604803499188,,,,,,,,,,,,,,
-1093.7791569440037,,,,,,,,,,,,,,,
,-1102.9428648918072,,,,,,,,,,,,,,
-1157.671868352862,,,,,,,,,,,,,,,
,,78907.728125,0.2,0.0011821697,2.44140625e-05,1.0106254816055298,40416.0390625,-8.57204852104187,-0.001061821001349017,0.0,132.9807077744995,-4.76837158203125e-07,-957.9696277205334,2440,0.0003
,-1289.017601218247,,,,,,,,,,,,,,
-1011.5289706261401,,,,,,,,,,,,,,,
,-1033.2771871431382,,,,,,,,,,,,,,
-1087.503427486398,,,,,,,,,,,,,,,
,-1163.1687308417554,,,,,,,,,,,,,,
-1012.4895545208896,,,,,,,,,,,,,,,
,-879.3901542270165,,,,,,,,,,,,,,
-1003.39949388647,,,,,,,,,,,,,,,
,,77688.69140625,0.2,0.00056110136,0.0,1.0116180181503296,37609.02734375,-8.576704502105713,-0.0003347652906086296,0.0,161.3907477931265,-5.960464477539062e-07,-1013.4983104117853,2450,0.0003
,-1250.5435788395844,,,,,,,,,,,,,,
-1029.2665770836704,,,,,,,,,,,,,,,
,-1046.586429250407,,,,,,,,,,,,,,
-990.5682664997939,,,,,,,,,,,,,,,
,-1214.864978592427,,,,,,,,,,,,,,
-1254.9356055150934,,,,,,,,,,,,,,,
,-1133.1080407895777,,,,,,,,,,,,,,
-1023.0833137955248,,,,,,,,,,,,,,,
,-1164.9283163111336,,,,,,,,,,,,,,
,,80573.595703125,0.2,0.0002641794,0.0,1.0123268365859985,41561.23828125,-8.58201880455017,-0.00033625246724113824,0.0,192.22297064813912,-8.344650268554688e-07,-983.2183980473807,2460,0.0003
-1022.6086938981485,,,,,,,,,,,,,,,
,-1103.5304520161326,,,,,,,,,,,,,,
-1066.8396036235104,,,,,,,,,,,,,,,
,-1138.7836772303167,,,,,,,,,,,,,,
-1186.6842891299825,,,,,,,,,,,,,,,
,-1048.7275196851203,,,,,,,,,,,,,,
-979.7191743192916,,,,,,,,,,,,,,,
,-1267.600165146107,,,,,,,,,,,,,,
,,77013.013671875,0.2,0.0011962535,4.8828125e-05,1.0131511688232422,37713.28515625,-8.586335039138794,-0.001090470539929811,0.1,672.3526036102994,-5.960464477539062e-07,-734.7432485183809,2470,0.0003
-1045.444991345142,,,,,,,,,,,,,,,
,-1089.9159418719887,,,,,,,,,,,,,,
-1026.1288089334844,,,,,,,,,,,,,,,
,-1221.3083794781978,,,,,,,,,,,,,,
-1091.0183731428308,,,,,,,,,,,,,,,
,-1000.8736961357063,,,,,,,,,,,,,,
-1115.4466946883474,,,,,,,,,,,,,,,
,-1086.4330637144765,,,,,,,,,,,,,,
,,79971.96484375,0.2,0.000663726,0.0,1.0137068033218384,40078.65625,-8.590844249725341,-0.0004345602646935731,0.1,691.0328952885146,-2.384185791015625e-07,-792.4969775453216,2480,0.0003
-1150.3070428405656,,,,,,,,,,,,,,,
,-1276.2313657693119,,,,,,,,,,,,,,
-1161.4730508739385,,,,,,,,,,,,,,,
,-1021.6947501586707,,,,,,,,,,,,,,
-1012.9004814864686,,,,,,,,,,,,,,,
,-1094.8020771083968,,,,,,,,,,,,,,
-1228.7088958591578,,,,,,,,,,,,,,,
