reward/env_0,reward/env_1,train/loss,train/policy_gradient_loss,eval/std_reward,train/value_loss,train/n_updates,train/clip_range,train/approx_kl,train/explained_variance,eval/mean_reward,train/entropy_loss,eval/success_rate,train/clip_fraction,train/learning_rate,train/std
-6.467743740278951,,,,,,,,,,,,,,,
,35.812588237396106,,,,,,,,,,,,,,
-159.58203098032365,,,,,,,,,,,,,,,
,-82.10079388888855,,,,,,,,,,,,,,
-40.7638456559156,,,,,,,,,,,,,,,
,7.5991206099510125,,,,,,,,,,,,,,
-31.059526329957116,,,,,,,,,,,,,,,
,32.37941378551376,,,,,,,,,,,,,,
-328.9117789783128,,,,,,,,,,,,,,,
,-156.9526714496621,,,,,,,,,,,,,,
,,2177.703369140625,-0.005274255713447929,190.61402549382152,4603.415747070312,450,0.2,0.0077217463,4.774332046508789e-05,-112.83537796721521,-8.14171142578125,0.0,0.08408203125,0.0003,0.9382052421569824
231.4165830913001,,,,,,,,,,,,,,,
,-6.820010306217986,,,,,,,,,,,,,,
-96.15005257899705,,,,,,,,,,,,,,,
,-126.8735159865478,,,,,,,,,,,,,,
-166.6436975307584,,,,,,,,,,,,,,,
,-18.153532046556915,,,,,,,,,,,,,,
-170.01940468593526,,,,,,,,,,,,,,,
,18.50404710136966,,,,,,,,,,,,,,
-59.92517153388195,,,,,,,,,,,,,,,
,-103.47771255167399,,,,,,,,,,,,,,
,,2566.733154296875,-0.0039061580086126924,166.67326444162055,5283.819201660156,460,0.2,0.004490054,-5.447864532470703e-05,-30.42493966992566,-8.129096841812133,0.0,0.0744140625,0.0003,0.9391440749168396
-96.2798621923511,,,,,,,,,,,,,,,
,-14.92151924770854,,,,,,,,,,,,,,
-28.14500888858595,,,,,,,,,,,,,,,
,-113.93082507806409,,,,,,,,,,,,,,
-80.91093943009442,,,,,,,,,,,,,,,
,-15.12194975764201,,,,,,,,,,,,,,
-114.0342436177722,,,,,,,,,,,,,,,
,-94.77448530032191,,,,,,,,,,,,,,
-198.67904400431544,,,,,,,,,,,,,,,
,-113.53414824344752,,,,,,,,,,,,,,
,,1805.2515869140625,-0.002708377584349364,232.65537283154595,3585.2506469726563,470,0.2,0.0074224966,-8.130073547363281e-05,-88.80967053716982,-8.133089780807495,0.0,0.0302001953125,0.0003,0.9384546875953674
-58.58243883426426,,,,,,,,,,,,,,,
,-59.089396721010885,,,,,,,,,,,,,,
-6.293780155792843,,,,,,,,,,,,,,,
,-144.01746279058085,,,,,,,,,,,,,,
-23.746471472408736,,,,,,,,,,,,,,,
,-55.92576243835951,,,,,,,,,,,,,,
-26.558020322704465,,,,,,,,,,,,,,,
,-17.368193191992233,,,,,,,,,,,,,,
128.2386351473013,,,,,,,,,,,,,,,
,-90.80889235260781,,,,,,,,,,,,,,
-53.8509269580512,,,,,,,,,,,,,,,
,,2844.231689453125,-0.004753047332633287,217.57363736543127,4813.753491210938,480,0.2,0.005538124,-5.352497100830078e-05,-4.43765157100495,-8.1212739944458,0.01,0.0581787109375,0.0003,0.9357292056083679
,52.052098054398606,,,,,,,,,,,,,,
-51.41349405007755,,,,,,,,,,,,,,,
,-223.24251222922703,,,,,,,,,,,,,,
-3.053933219094546,,,,,,,,,,,,,,,
52.04243606120856,,,,,,,,,,,,,,,
,-16.09770991190755,,,,,,,,,,,,,,
36.302139389286445,,,,,,,,,,,,,,,
,-10.72025508123919,,,,,,,,,,,,,,
189.97780867698245,,,,,,,,,,,,,,,
,-98.05936374580165,,,,,,,,,,,,,,
5.955646316497178,,,,,,,,,,,,,,,
,,2842.93408203125,-0.0015682722092606126,229.73258113949836,4719.282189941407,490,0.2,0.0127448235,-1.9073486328125e-06,-101.47452666551472,-8.091552352905273,0.01,0.0845947265625,0.0003,0.929060161113739
,-95.38469316156836,,,,,,,,,,,,,,
-7.977012956298213,,,,,,,,,,,,,,,
,-125.78999785000678,,,,,,,,,,,,,,
-49.30752031420017,,,,,,,,,,,,,,,
,-92.91586128551465,,,,,,,,,,,,,,
-11.27800578250478,,,,,,,,,,,,,,,
,-91.3188696421391,,,,,,,,,,,,,,
-121.86041174963626,,,,,,,,,,,,,,,
,-302.4686555742112,,,,,,,,,,,,,,
-168.89158576172932,,,,,,,,,,,,,,,
,-181.53661444298092,,,,,,,,,,,,,,
,,2103.184814453125,0.012428529513999819,230.66739882468636,4157.048132324218,500,0.2,0.023966547,-9.775161743164062e-05,-175.5628676571367,-8.056578254699707,0.01,0.257958984375,0.0003,0.9264514446258545
-44.512157763652716,,,,,,,,,,,,,,,
,-140.26546874675375,,,,,,,,,,,,,,
-97.75860657541764,,,,,,,,,,,,,,,
,-135.0031120844739,,,,,,,,,,,,,,
-8.253064550595038,,,,,,,,,,,,,,,
,-86.24540976751705,,,,,,,,,,,,,,
-147.3325500679869,,,,,,,,,,,,,,,
,-63.13242270757847,,,,,,,,,,,,,,
-165.864687392534,,,,,,,,,,,,,,,
,-92.28641813018012,,,,,,,,,,,,,,
,,2120.233642578125,-0.00016700894630048425,245.5829164460301,4194.059802246094,510,0.2,0.0013114869,-1.6689300537109375e-06,-156.7095788662495,-8.048825407028199,0.01,0.0,0.0003,0.9261200428009033
-133.35189171676205,,,,,,,,,,,,,,,
,-147.51700800560045,,,,,,,,,,,,,,
-127.99371825588746,,,,,,,,,,,,,,,
,-29.366747423220364,,,,,,,,,,,,,,
-302.16962966492116,,,,,,,,,,,,,,,
,-158.24461197905086,,,,,,,,,,,,,,
-74.53121191945563,,,,,,,,,,,,,,,
,-122.28052955444711,,,,,,,,,,,,,,
-80.07211641348079,,,,,,,,,,,,,,,
,-32.04503259752808,,,,,,,,,,,,,,
-105.69675416450362,,,,,,,,,,,,,,,
,,2034.7281494140625,-0.0009686396108008922,351.21187295203003,4152.878369140625,520,0.2,0.00053473853,-6.699562072753906e-05,-150.7165466484692,-8.047896242141723,0.04,0.0,0.0003,0.9260947108268738
,-65.35542537645222,,,,,,,,,,,,,,
-50.91933726738068,,,,,,,,,,,,,,,
,235.59796471949622,,,,,,,,,,,,,,
-117.88215051577659,,,,,,,,,,,,,,,
,-18.07809878012546,,,,,,,,,,,,,,
-70.21123408817222,,,,,,,,,,,,,,,
,-99.89439953109252,,,,,,,,,,,,,,
,9.59876998014315,,,,,,,,,,,,,,
-285.1949793755783,,,,,,,,,,,,,,,
,8.7453214854474,,,,,,,,,,,,,,
-230.20375483929857,,,,,,,,,,,,,,,
,,4100.66162109375,-0.0007744069385807961,299.9149061857743,7420.4720703125,530,0.2,0.00077376456,-2.4080276489257812e-05,-114.3049614270591,-8.048194646835327,0.02,0.0,0.0003,0.9262368679046631
,-110.18412021178378,,,,,,,,,,,,,,
-89.90013312758728,,,,,,,,,,,,,,,
,-69.62139006163798,,,,,,,,,,,,,,
-10.19665129772567,,,,,,,,,,,,,,,
,-98.3981646734077,,,,,,,,,,,,,,
-45.93458599138067,,,,,,,,,,,,,,,
,-7.1012790403453065,,,,,,,,,,,,,,
4.142067292678601,,,,,,,,,,,,,,,
,-163.52706812681237,,,,,,,,,,,,,,
-78.04999815984202,,,,,,,,,,,,,,,
,-180.8325565895311,,,,,,,,,,,,,,
-28.8791183604666,,,,,,,,,,,,,,,
,,1432.5849609375,-0.000693147222045809,265.2564363527951,2830.13544921875,540,0.2,0.0011461438,-0.00013506412506103516,-217.23398167565597,-8.04940423965454,0.0,0.0,0.0003,0.9264369606971741
,44.332528022818984,,,,,,,,,,,,,,
-25.87974106607432,,,,,,,,,,,,,,,
,-45.51287871363964,,,,,,,,,,,,,,
38.604417057574665,,,,,,,,,,,,,,,
,19.764731696824267,,,,,,,,,,,,,,
-77.59779318194828,,,,,,,,,,,,,,,
,-3.443704787181801,,,,,,,,,,,,,,
7.795072080477496,,,,,,,,,,,,,,,
,-75.54239017528221,,,,,,,,,,,,,,
-12.671754190545084,,,,,,,,,,,,,,,
,166.45524862978775,,,,,,,,,,,,,,
,,2354.283447265625,-0.003770727408118546,351.53624285675227,5290.902758789062,550,0.2,0.0060316003,1.3649463653564453e-05,-415.8917712352249,-8.045559549331665,0.0,0.0616455078125,0.0003,0.9238836169242859
39.89329396909416,,,,,,,,,,,,,,,
,-3.5494357908249214,,,,,,,,,,,,,,
-121.24826038686794,,,,,,,,,,,,,,,
,10.616895727971709,,,,,,,,,,,,,,
,46.91614522229073,,,,,,,,,,,,,,
5.777732706189869,,,,,,,,,,,,,,,
-103.14849853781452,,,,,,,,,,,,,,,
,16.331502608835034,,,,,,,,,,,,,,
-25.817695503855475,,,,,,,,,,,,,,,
,-98.68282246178852,,,,,,,,,,,,,,
27.604804679322637,,,,,,,,,,,,,,,
,-4.070079096391234,,,,,,,,,,,,,,
,,1471.925048828125,0.003961227112449705,358.41891193142567,2950.496484375,560,0.2,0.0061866804,-7.867813110351562e-06,-565.0931049744532,-8.026517629623413,0.0,0.0942626953125,0.0003,0.9223129749298096
,-118.05044911302623,,,,,,,,,,,,,,
62.37326456455505,,,,,,,,,,,,,,,
-98.49679948726647,,,,,,,,,,,,,,,
,-68.38571185560924,,,,,,,,,,,,,,
-140.55298837507803,,,,,,,,,,,,,,,
,-34.53322156789717,,,,,,,,,,,,,,
,-6.359083741301956,,,,,,,,,,,,,,
-92.3662088830769,,,,,,,,,,,,,,,
,-40.517357633580595,,,,,,,,,,,,,,
178.56319628548522,,,,,,,,,,,,,,,
,-312.8262648163317,,,,,,,,,,,,,,
-247.14527059711864,,,,,,,,,,,,,,,
,,4280.45703125,0.001086877449415624,304.4953924274297,8057.489404296875,570,0.2,0.005269084,-5.435943603515625e-05,-586.4066373157029,-8.023384428024292,0.0,0.0214599609375,0.0003,0.9224125742912292
,5.626493965453463,,,,,,,,,,,,,,
-3.1490629874920244,,,,,,,,,,,,,,,
,32.457392425523516,,,,,,,,,,,,,,
-33.645114462988296,,,,,,,,,,,,,,,
,-67.90830395203417,,,,,,,,,,,,,,
-21.504560405136154,,,,,,,,,,,,,,,
,240.49996353335163,,,,,,,,,,,,,,
-193.61185029994274,,,,,,,,,,,,,,,
,212.83356342436787,,,,,,,,,,,,,,
-316.15393023684584,,,,,,,,,,,,,,,
,132.73325107887092,,,,,,,,,,,,,,
122.67337730865135,,,,,,,,,,,,,,,
,-95.31258429312665,,,,,,,,,,,,,,
,,7330.25048828125,-0.0009947894373908638,344.906547158589,15345.768115234376,580,0.2,0.008033257,1.1026859283447266e-05,-641.6564266647018,-8.021442556381226,0.0,0.084375,0.0003,0.9212124943733215
0.32976633699913976,,,,,,,,,,,,,,,
,44.93958118208337,,,,,,,,,,,,,,
25.532349280601633,,,,,,,,,,,,,,,
,-18.02216863885832,,,,,,,,,,,,,,
-442.9441946735707,,,,,,,,,,,,,,,
,-91.07218831630544,,,,,,,,,,,,,,
-20.425809817584973,,,,,,,,,,,,,,,
,-180.82074981725586,,,,,,,,,,,,,,
18.496057454183614,,,,,,,,,,,,,,,
,-52.02402280189593,,,,,,,,,,,,,,
-44.963367443371304,,,,,,,,,,,,,,,
,,2462.47216796875,-0.002264838054543361,303.7755302743486,5078.91435546875,590,0.2,0.010576837,1.9311904907226562e-05,-311.7787602454378,-8.012579345703125,0.0,0.07783203125,0.0003,0.9203106760978699
,-94.68293463703976,,,,,,,,,,,,,,
-20.946016410565267,,,,,,,,,,,,,,,
,-12.917311268868024,,,,,,,,,,,,,,
-160.60244240960154,,,,,,,,,,,,,,,
,-136.77527882065777,,,,,,,,,,,,,,
-23.189773188426802,,,,,,,,,,,,,,,
-1.918547954242257,,,,,,,,,,,,,,,
,-49.836916111409074,,,,,,,,,,,,,,
-37.100214254153876,,,,,,,,,,,,,,,
,-95.72553244825771,,,,,,,,,,,,,,
-33.24017728402033,,,,,,,,,,,,,,,
,,1750.12841796875,-0.00035452796146273613,279.3151352356648,3468.540478515625,600,0.2,0.00025675568,-8.368492126464844e-05,-376.3142485654517,-8.009247875213623,0.0,0.0,0.0003,0.9200395941734314
,20.385854432479558,,,,,,,,,,,,,,
-59.29184896052429,,,,,,,,,,,,,,,
,49.44713607707145,,,,,,,,,,,,,,
34.93381536281802,,,,,,,,,,,,,,,
,175.88387313024035,,,,,,,,,,,,,,
-55.80091579138066,,,,,,,,,,,,,,,
,234.1138739877268,,,,,,,,,,,,,,
14.219500961957982,,,,,,,,,,,,,,,
,-103.55233986060696,,,,,,,,,,,,,,
20.79990462120859,,,,,,,,,,,,,,,
,-16.985996403387237,,,,,,,,,,,,,,
90.78984600514221,,,,,,,,,,,,,,,
,33.48199274809592,,,,,,,,,,,,,,
,,4677.4970703125,-0.00021060603321529925,302.3299071288064,7976.991845703125,610,0.2,0.00018410147,-3.135204315185547e-05,-366.918804400068,-8.007864665985107,0.0,0.0,0.0003,0.9198593497276306
-123.65736969414108,,,,,,,,,,,,,,,
,-59.24153379849635,,,,,,,,,,,,,,
-49.85503589922813,,,,,,,,,,,,,,,
,51.99327611249559,,,,,,,,,,,,,,
-11.891805128506995,,,,,,,,,,,,,,,
,14.443511983275647,,,,,,,,,,,,,,
-69.61839407634052,,,,,,,,,,,,,,,
,39.70103217821292,,,,,,,,,,,,,,
-138.2675274968325,,,,,,,,,,,,,,,
,3.222426637694383,,,,,,,,,,,,,,
94.68874564135042,,,,,,,,,,,,,,,
,1.64195929100579,,,,,,,,,,,,,,
,,1609.097900390625,-0.0013437166111543775,310.49548879937066,3243.5224853515624,620,0.2,0.018938297,-6.330013275146484e-05,-509.2200431432946,-8.003642821311951,0.0,0.094921875,0.0003,0.9183513522148132
1.3867166156542994,,,,,,,,,,,,,,,
,-1.2190707510063077,,,,,,,,,,,,,,
-26.211403786528514,,,,,,,,,,,,,,,
,11.608423520075783,,,,,,,,,,,,,,
-27.191208348340353,,,,,,,,,,,,,,,
,220.03849736668963,,,,,,,,,,,,,,
22.109479640791637,,,,,,,,,,,,,,,
,45.241198603149186,,,,,,,,,,,,,,
13.701070035393249,,,,,,,,,,,,,,,
,-23.683323978906397,,,,,,,,,,,,,,
-66.41449428868296,,,,,,,,,,,,,,,
,41.88429499026468,,,,,,,,,,,,,,
,,3022.3837890625,-0.001319122954737395,286.5266090096008,5665.895190429687,630,0.2,0.005842194,-9.775161743164062e-06,-483.2209883434764,-7.992705273628235,0.0,0.0837646484375,0.0003,0.9171199202537537
,51.17231244548056,,,,,,,,,,,,,,
-113.04087156094101,,,,,,,,,,,,,,,
,-53.24109185219364,,,,,,,,,,,,,,
0.92540730385752,,,,,,,,,,,,,,,
,-16.47755285166846,,,,,,,,,,,,,,
30.04176011791724,,,,,,,,,,,,,,,
,4.610024309365175,,,,,,,,,,,,,,
40.29033367425857,,,,,,,,,,,,,,,
,6.812850164749349,,,,,,,,,,,,,,
10.450170305321487,,,,,,,,,,,,,,,
,-8.849119599991727,,,,,,,,,,,,,,
-95.64341227047707,,,,,,,,,,,,,,,
,,1409.107666015625,-0.0001328393234871328,456.5178768831005,2807.5058715820314,640,0.2,0.02042698,7.152557373046875e-07,-857.7386700631588,-7.972965431213379,0.0,0.108740234375,0.0003,0.9108278751373291
,16.80656085338513,,,,,,,,,,,,,,
-85.3605797181564,,,,,,,,,,,,,,,
,-34.902741641566294,,,,,,,,,,,,,,
-65.44448130711895,,,,,,,,,,,,,,,
,-35.945353758618786,,,,,,,,,,,,,,
-116.81270389150423,,,,,,,,,,,,,,,
,-75.56061741280087,,,,,,,,,,,,,,
-19.490311378917063,,,,,,,,,,,,,,,
,-80.44410304930368,,,,,,,,,,,,,,
-72.55281559875071,,,,,,,,,,,,,,,
,-104.20535994333181,,,,,,,,,,,,,,
256.4170557199753,,,,,,,,,,,,,,,
,33.995125200207156,,,,,,,,,,,,,,
,,2823.4453125,0.004020950465928763,564.0203885605665,5753.037280273437,650,0.2,0.008252099,7.539987564086914e-05,-1153.2151466816533,-7.93355119228363,0.0,0.075634765625,0.0003,0.9074568152427673
26.25450494712241,,,,,,,,,,,,,,,
,-187.3681379675607,,,,,,,,,,,,,,
-68.52982297486349,,,,,,,,,,,,,,,
,-42.5136518255109,,,,,,,,,,,,,,
-75.14149288990247,,,,,,,,,,,,,,,
,-114.6649563784797,,,,,,,,,,,,,,
-20.64101447666973,,,,,,,,,,,,,,,
,-207.53841656233544,,,,,,,,,,,,,,
-71.05144616151983,,,,,,,,,,,,,,,
,-74.82922580664027,,,,,,,,,,,,,,
-460.58967691566716,,,,,,,,,,,,,,,
,,2743.16943359375,-0.0011621286015724764,514.241729231348,5630.156079101563,660,0.2,0.000717724,0.00011008977890014648,-928.7910345844552,-7.922796416282654,0.0,0.0,0.0003,0.9069398045539856
,111.38405438014267,,,,,,,,,,,,,,
-233.31418320896523,,,,,,,,,,,,,,,
,-78.36788585483588,,,,,,,,,,,,,,
-294.2671539365141,,,,,,,,,,,,,,,
,-2.414679510238247,,,,,,,,,,,,,,
-120.85533613595112,,,,,,,,,,,,,,,
,-32.052404878391364,,,,,,,,,,,,,,
-67.6666321404912,,,,,,,,,,,,,,,
,-44.74570576224043,,,,,,,,,,,,,,
-26.783713137663018,,,,,,,,,,,,,,,
,-20.881010370149745,,,,,,,,,,,,,,
,,3823.88720703125,-0.00036977059062337503,466.8082360345344,8186.87021484375,670,0.2,0.00014057013,1.1324882507324219e-05,-950.0442203503954,-7.921402144432068,0.0,0.0,0.0003,0.9069087505340576
-79.81496667976096,,,,,,,,,,,,,,,
,-79.5250932107011,,,,,,,,,,,,,,
-5.813747906266636,,,,,,,,,,,,,,,
,-73.22419349918104,,,,,,,,,,,,,,
-11.795832037840047,,,,,,,,,,,,,,,
,26.663547729598783,,,,,,,,,,,,,,
-221.93069333199446,,,,,,,,,,,,,,,
,151.82003851908095,,,,,,,,,,,,,,
196.64865258828624,,,,,,,,,,,,,,,
,-64.08473349440006,,,,,,,,,,,,,,
-169.15353951584228,,,,,,,,,,,,,,,
,-95.89185583241446,,,,,,,,,,,,,,
,,4101.5390625,-0.0013369406340643763,627.6911466303746,9233.759350585937,680,0.2,0.0017708271,7.510185241699219e-05,-1186.9793614025607,-7.921632862091064,0.0,7.32421875e-05,0.0003,0.9070219993591309
-27.149109426769268,,,,,,,,,,,,,,,
,-3.3988620505437153,,,,,,,,,,,,,,
-163.8453157323761,,,,,,,,,,,,,,,
,-2.5073335019329877,,,,,,,,,,,,,,
-32.70151921864247,,,,,,,,,,,,,,,
,66.50792251976857,,,,,,,,,,,,,,
-50.91383904192968,,,,,,,,,,,,,,,
,-41.950175233841904,,,,,,,,,,,,,,
-38.72136442381701,,,,,,,,,,,,,,,
,-51.61881179652617,,,,,,,,,,,,,,
43.728163701712795,,,,,,,,,,,,,,,
,23.469507068685992,,,,,,,,,,,,,,
,,1502.84814453125,-0.0016827380284667015,479.4454164548308,3017.7751586914064,690,0.2,0.0028565018,0.00015664100646972656,-852.7324331185289,-7.92294135093689,0.0,0.00087890625,0.0003,0.9073877334594727
25.301060154600993,,,,,,,,,,,,,,,
,-49.66906738310858,,,,,,,,,,,,,,
39.28424883304873,,,,,,,,,,,,,,,
,-0.9575677663331021,,,,,,,,,,,,,,
214.21611289200214,,,,,,,,,,,,,,,
,97.95819243361879,,,,,,,,,,,,,,
1.4182513254681226,,,,,,,,,,,,,,,
,-41.19028418773079,,,,,,,,,,,,,,
85.64038006186725,,,,,,,,,,,,,,,
,14.581829905867163,,,,,,,,,,,,,,
15.55320984798144,,,,,,,,,,,,,,,
,4.7572336699362925,,,,,,,,,,,,,,
,,2673.287841796875,-0.0004792383930180222,467.4658336879166,5361.36005859375,700,0.2,0.0015665989,-2.9921531677246094e-05,-668.1585133099646,-7.924641180038452,0.0,0.0001220703125,0.0003,0.9074640870094299
-1.4086109397137734,,,,,,,,,,,,,,,
,8.833142458478747,,,,,,,,,,,,,,
44.3740563331183,,,,,,,,,,,,,,,
,-125.02720172980158,,,,,,,,,,,,,,
-67.77952640818376,,,,,,,,,,,,,,,
,39.22450167084232,,,,,,,,,,,,,,
116.66759802333954,,,,,,,,,,,,,,,
,-23.36690411879671,,,,,,,,,,,,,,
-48.385822777202584,,,,,,,,,,,,,,,
,72.77598411498766,,,,,,,,,,,,,,
-89.72315730312661,,,,,,,,,,,,,,,
,-6.5911968505340095,,,,,,,,,,,,,,
16.632221679865218,,,,,,,,,,,,,,,
,,1672.8236083984375,-0.0008535417669918388,437.0248303382323,3344.9341552734377,710,0.2,0.001331887,0.000474393367767334,-609.5634776899192,-7.9237418413162235,0.0,7.32421875e-05,0.0003,0.9072401523590088
,18.532233815579037,,,,,,,,,,,,,,
-39.13487975396279,,,,,,,,,,,,,,,
,20.788743250950787,,,,,,,,,,,,,,
33.13690529034061,,,,,,,,,,,,,,,
,240.13712163570813,,,,,,,,,,,,,,
36.489268879813565,,,,,,,,,,,,,,,
,-18.331231537969067,,,,,,,,,,,,,,
31.87054963332662,,,,,,,,,,,,,,,
,-88.06747580410065,,,,,,,,,,,,,,
11.77065945965939,,,,,,,,,,,,,,,
,-65.35375890292447,,,,,,,,,,,,,,
30.83829224202709,,,,,,,,,,,,,,,
,61.91920046538685,,,,,,,,,,,,,,
,,2253.12646484375,-0.0003806361753959209,464.2360163764538,5058.001977539063,720,0.2,0.0008110015,0.001160264015197754,-668.5723849875227,-7.921679735183716,0.0,0.0,0.0003,0.9071090221405029
58.83507714076304,,,,,,,,,,,,,,,
,18.19485074002059,,,,,,,,,,,,,,
-21.887425934322955,,,,,,,,,,,,,,,
,230.28852775586515,,,,,,,,,,,,,,
-160.63104540541536,,,,,,,,,,,,,,,
,7.312238017019331,,,,,,,,,,,,,,
-78.7594929109865,,,,,,,,,,,,,,,
,113.48749813880946,,,,,,,,,,,,,,
40.38972818648996,,,,,,,,,,,,,,,
,7.962631921527392,,,,,,,,,,,,,,
-102.47236015263279,,,,,,,,,,,,,,,
,,4480.685546875,-0.0011852526222355664,454.9406952913869,8552.3474609375,730,0.2,0.0029817477,0.0005687475204467773,-747.0418294524117,-7.922245049476624,0.0,0.0014404296875,0.0003,0.9075877070426941
,-5.392625865908388,,,,,,,,,,,,,,
-50.77411690858831,,,,,,,,,,,,,,,
,-17.77669086544385,,,,,,,,,,,,,,
,91.43430402429503,,,,,,,,,,,,,,
-62.36208452045484,,,,,,,,,,,,,,,
,-62.72667206541215,,,,,,,,,,,,,,
-49.133588283350704,,,,,,,,,,,,,,,
,263.6342777120541,,,,,,,,,,,,,,
242.81985484445732,,,,,,,,,,,,,,,
,245.75998154959808,,,,,,,,,,,,,,
-1.1310440715841423,,,,,,,,,,,,,,,
,-14.019814042906631,,,,,,,,,,,,,,
,,5157.111328125,-0.00031933607533574104,513.1984161945627,10253.036376953125,740,0.2,0.0010893677,0.0009926557540893555,-913.770848449654,-7.925241827964783,0.0,0.0,0.0003,0.9078782200813293
-74.29403716230334,,,,,,,,,,,,,,,
,10.137505936752806,,,,,,,,,,,,,,
103.50773938974002,,,,,,,,,,,,,,,
,13.658319728537634,,,,,,,,,,,,,,
-3.7594562558525153,,,,,,,,,,,,,,,
,59.94579726286862,,,,,,,,,,,,,,
-27.945579298060704,,,,,,,,,,,,,,,
,-21.744286646323715,,,,,,,,,,,,,,
-200.41425199110932,,,,,,,,,,,,,,,
,2.7833131202477914,,,,,,,,,,,,,,
0.00023757081209510033,,,,,,,,,,,,,,,
,-72.43629495739218,,,,,,,,,,,,,,
47.07327589091242,,,,,,,,,,,,,,,
,-25.305811665942024,,,,,,,,,,,,,,
,,1757.6085205078125,-0.0005317255505360663,538.7607923022713,3459.726940917969,750,0.2,0.00058837194,0.003940403461456299,-939.8092996059314,-7.925603652000428,0.0,0.0,0.0003,0.9077079892158508
-67.00113117632218,,,,,,,,,,,,,,,
,14.59928938781913,,,,,,,,,,,,,,
-24.03736947433672,,,,,,,,,,,,,,,
,37.77144373723579,,,,,,,,,,,,,,
-31.961100324062635,,,,,,,,,,,,,,,
,-39.765619456749995,,,,,,,,,,,,,,
75.80773407147174,,,,,,,,,,,,,,,
,-34.17736139784681,,,,,,,,,,,,,,
20.029586606578214,,,,,,,,,,,,,,,
,-0.29812284226811414,,,,,,,,,,,,,,
31.181821840039106,,,,,,,,,,,,,,,
,42.00114716203702,,,,,,,,,,,,,,
,,1295.8673095703125,-0.0022779319318942727,483.96998613486534,2600.0971069335938,760,0.2,0.006511313,0.00792008638381958,-833.8178421450039,-7.9245219945907595,0.0,0.0150146484375,0.0003,0.9075923562049866
-64.47357887739852,,,,,,,,,,,,,,,
,22.973403726926268,,,,,,,,,,,,,,
-28.329817572311857,,,,,,,,,,,,,,,
,71.43614313812893,,,,,,,,,,,,,,
,-82.92540116142014,,,,,,,,,,,,,,
-57.29819912454218,,,,,,,,,,,,,,,
,16.42292983796957,,,,,,,,,,,,,,
-10.117986011311881,,,,,,,,,,,,,,,
10.988216765990206,,,,,,,,,,,,,,,
,-0.6560706789039699,,,,,,,,,,,,,,
-212.249734787109,,,,,,,,,,,,,,,
,88.35723904046094,,,,,,,,,,,,,,
,,1697.9678955078125,0.00013319672434590756,488.69530372794,3468.1253173828127,770,0.2,0.00012473964,0.012759029865264893,-824.4903422179798,-7.923898792266845,0.0,0.0,0.0003,0.9074946045875549
3.893361441747254,,,,,,,,,,,,,,,
,-1.0586635633975845,,,,,,,,,,,,,,
0.2822826034592765,,,,,,,,,,,,,,,
,-154.08816207365788,,,,,,,,,,,,,,
-5.149181215234767,,,,,,,,,,,,,,,
,-20.849055884393795,,,,,,,,,,,,,,
-1.771463221497595,,,,,,,,,,,,,,,
,13.193207833445447,,,,,,,,,,,,,,
78.91279400102586,,,,,,,,,,,,,,,
,-6.58531084280798,,,,,,,,,,,,,,
60.50734182109593,,,,,,,,,,,,,,,
,25.92292988571944,,,,,,,,,,,,,,
,,1481.639404296875,-0.0007798797858413308,399.1592572412366,2929.595812988281,780,0.2,0.0010865714,0.01885199546813965,-751.3974644002504,-7.923728132247925,0.0,0.0,0.0003,0.907569408416748
-39.40411064731272,,,,,,,,,,,,,,,
27.532078559184782,,,,,,,,,,,,,,,
,-195.35243042714234,,,,,,,,,,,,,,
,64.15018109295792,,,,,,,,,,,,,,
-33.223357482707456,,,,,,,,,,,,,,,
,41.89439743317653,,,,,,,,,,,,,,
-64.18572227253296,,,,,,,,,,,,,,,
,74.83782173533825,,,,,,,,,,,,,,
-132.50133556031747,,,,,,,,,,,,,,,
,-1.352339850005015,,,,,,,,,,,,,,
6.912347182085893,,,,,,,,,,,,,,,
,58.43609621707185,,,,,,,,,,,,,,
,,1669.626220703125,-0.0015409027750138194,465.9909523319841,3348.2831787109376,790,0.2,0.002228316,0.02103257179260254,-722.4772089830898,-7.923750185966492,0.0,0.0004638671875,0.0003,0.9074192643165588
-3.135235351137922,,,,,,,,,,,,,,,
,-40.71039658547467,,,,,,,,,,,,,,
-53.69602508794422,,,,,,,,,,,,,,,
,54.3433896380469,,,,,,,,,,,,,,
95.78658476805836,,,,,,,,,,,,,,,
,-63.52214887667865,,,,,,,,,,,,,,
-77.12808207240224,,,,,,,,,,,,,,,
,259.59489296716856,,,,,,,,,,,,,,
,42.03065776068145,,,,,,,,,,,,,,
-33.14883922667578,,,,,,,,,,,,,,,
,12.902769802831841,,,,,,,,,,,,,,
-3.6120302680294287,,,,,,,,,,,,,,,
,,2233.88134765625,-0.0006785601086448878,490.5057645663424,5280.801806640625,800,0.2,0.0011654687,0.017414212226867676,-712.8714884281051,-7.922576832771301,0.0,0.0,0.0003,0.9073240160942078
,145.6759363761978,,,,,,,,,,,,,,
-23.404236410567364,,,,,,,,,,,,,,,
,17.518846232236633,,,,,,,,,,,,,,
19.57440791024572,,,,,,,,,,,,,,,
,-29.37602802874626,,,,,,,,,,,,,,
-4.075049267990801,,,,,,,,,,,,,,,
,8.52172883692642,,,,,,,,,,,,,,
56.638168882593675,,,,,,,,,,,,,,,
,-38.385519019846484,,,,,,,,,,,,,,
